user_id,resp_time,datetime_utc,sleep_hours,sleep_quality,sleepiness,location
u00,1364114365,2013-03-24 08:39:25+00:00,,,,
u00,1364114453,2013-03-24 08:40:53+00:00,,,,
u00,1364114760,2013-03-24 08:46:00+00:00,,,,
u00,1364114761,2013-03-24 08:46:01+00:00,,,,
u00,1364114765,2013-03-24 08:46:05+00:00,,,,
u00,1364114771,2013-03-24 08:46:11+00:00,,,,
u00,1364114775,2013-03-24 08:46:15+00:00,,,,
u00,1364148460,2013-03-24 18:07:40+00:00,,,,
u00,1364237676,2013-03-25 18:54:36+00:00,8,1,1,"43.70692415,-72.2873929"
u00,1364321234,2013-03-26 18:07:14+00:00,7,2,1,"43.70393682,-72.30152284"
u00,1364334405,2013-03-26 21:46:45+00:00,8,1,1,"43.70759062,-72.28510298"
u00,1364357389,2013-03-27 04:09:49+00:00,8,3,1,"43.75932116,-72.32890406"
u00,1364408307,2013-03-27 18:18:27+00:00,8,1,1,"43.70688822,-72.28758629"
u00,1364437512,2013-03-28 02:25:12+00:00,6,2,1,"43.70528646,-72.28684485"
u00,1364490035,2013-03-28 17:00:35+00:00,7,2,1,"43.70567695,-72.2879286"
u00,1364522690,2013-03-29 02:04:50+00:00,8,1,1,"43.70671862,-72.28748696"
u00,1364572628,2013-03-29 15:57:08+00:00,4,3,1,"43.70466313,-72.30515871"
u00,1364577749,2013-03-29 17:22:29+00:00,4,3,1,"43.70647015,-72.28715547"
u00,1364583795,2013-03-29 19:03:15+00:00,8,1,1,"43.70777831,-72.28510534"
u00,1364750657,2013-03-31 17:24:17+00:00,9,2,1,"43.75914412,-72.32945574"
u00,1364836266,2013-04-01 17:11:06+00:00,3,4,1,"43.70677717,-72.2874797"
u00,1365010047,2013-04-03 17:27:27+00:00,5,3,2,"43.70708859,-72.28753397"
u00,1365095193,2013-04-04 17:06:33+00:00,10,2,2,"43.70708859,-72.28753397"
u00,1365181215,2013-04-05 17:00:15+00:00,4,1,1,"43.70708859,-72.28753397"
u00,1365268350,2013-04-06 17:12:30+00:00,9,2,2,"43.70708859,-72.28753397"
u00,1365358039,2013-04-07 18:07:19+00:00,9,1,1,"43.70708859,-72.28753397"
u00,1365440432,2013-04-08 17:00:32+00:00,5,1,1,"43.70678333,-72.28754051"
u00,1365440444,2013-04-08 17:00:44+00:00,4,3,1,"43.70680961,-72.28757253"
u00,1365529523,2013-04-09 17:45:23+00:00,6,3,1,"43.64301116,-72.30784768"
u00,1365614822,2013-04-10 17:27:02+00:00,5,1,1,"43.705058,-72.28772623"
u00,1365701129,2013-04-11 17:25:29+00:00,8,1,1,"43.70414319,-72.28774882"
u00,1365786365,2013-04-12 17:06:05+00:00,3,1,1,"43.71253942,-72.30803315"
u00,1365897960,2013-04-14 00:06:00+00:00,14,1,1,Unknown
u00,1365966931,2013-04-14 19:15:31+00:00,9,1,1,"43.75917269,-72.32894748"
u00,1365966938,2013-04-14 19:15:38+00:00,9,1,1,"43.75917269,-72.32894748"
u00,1366045742,2013-04-15 17:09:02+00:00,3,1,1,"43.70661096,-72.28731884"
u00,1366045748,2013-04-15 17:09:08+00:00,3,4,1,"43.70661096,-72.28731884"
u00,1366218064,2013-04-17 17:01:04+00:00,3,4,1,"43.70399343,-72.30226048"
u00,1366488754,2013-04-20 20:12:34+00:00,8,1,1,"41.64732181,-71.51018915"
u00,1366564205,2013-04-21 17:10:05+00:00,8,2,1,"43.75957917,-72.32886943"
u00,1366650364,2013-04-22 17:06:04+00:00,3,4,1,"43.70661363,-72.28736513"
u00,1366739819,2013-04-23 17:56:59+00:00,6,3,1,"43.71722994,-72.30901577"
u00,1366841234,2013-04-24 22:07:14+00:00,9,1,1,"43.75923622,-72.32892739"
u00,1366909403,2013-04-25 17:03:23+00:00,5,3,1,"43.72475325,-72.31381984"
u00,1367429973,2013-05-01 17:39:33+00:00,3,4,1,"43.71346364,-72.30894875"
u00,1367429974,2013-05-01 17:39:34+00:00,3,4,1,"43.71346364,-72.30894875"
