user_id,resp_time,datetime_utc,number,location
u00,1364114390,2013-03-24 08:39:50+00:00,,
u00,1364114393,2013-03-24 08:39:53+00:00,,
u00,1364114455,2013-03-24 08:40:55+00:00,,
u00,1364163095,2013-03-24 22:11:35+00:00,,
u00,1364177775,2013-03-25 02:16:15+00:00,,
u00,1364264483,2013-03-26 02:21:23+00:00,5,Unknown
u00,1364328798,2013-03-26 20:13:18+00:00,1,"43.70697406,-72.28758978"
u00,1364338301,2013-03-26 22:51:41+00:00,1,"43.70759062,-72.28510298"
u00,1364425743,2013-03-27 23:09:03+00:00,4,"43.70863158,-72.2842741"
u00,1364437520,2013-03-28 02:25:20+00:00,3,"43.70517792,-72.28685304"
u00,1364534048,2013-03-29 05:14:08+00:00,4,"43.70674964,-72.2875834"
u00,1364536801,2013-03-29 06:00:01+00:00,4,"43.70674964,-72.2875834"
u00,1364573023,2013-03-29 16:03:43+00:00,4,"43.70546998,-72.28794136"
u00,1364623648,2013-03-30 06:07:28+00:00,4,"43.70664323,-72.28735129"
u00,1364710284,2013-03-31 06:11:24+00:00,2,"43.75941375,-72.32875076"
u00,1364802076,2013-04-01 07:41:16+00:00,2,"43.75907887,-72.32921107"
u00,1364965063,2013-04-03 04:57:43+00:00,2,"43.787638,-72.32241148"
u00,1365023797,2013-04-03 21:16:37+00:00,3,"43.70708859,-72.28753397"
u00,1365046616,2013-04-04 03:36:56+00:00,3,"43.70708859,-72.28753397"
u00,1365135658,2013-04-05 04:20:58+00:00,4,"43.70708859,-72.28753397"
u00,1365194323,2013-04-05 20:38:43+00:00,5,"43.70708859,-72.28753397"
u00,1365408484,2013-04-08 08:08:04+00:00,4,"43.78764103,-72.32252081"
u00,1365538301,2013-04-09 20:11:41+00:00,5,"43.65303742,-72.30996674"
u00,1365621592,2013-04-10 19:19:52+00:00,4,"43.705058,-72.28772623"
u00,1365627469,2013-04-10 20:57:49+00:00,4,"43.70320123,-72.28865299"
u00,1365710432,2013-04-11 20:00:32+00:00,3,"43.70414319,-72.28774882"
u00,1365802767,2013-04-12 21:39:27+00:00,3,"43.70444924,-72.28793809"
u00,1366230470,2013-04-17 20:27:50+00:00,4,"43.70875092,-72.28435213"
u00,1366351223,2013-04-19 06:00:23+00:00,3,"43.75872078,-72.32869187"
u00,1366530863,2013-04-21 07:54:23+00:00,2,"43.75917542,-72.32926548"
u00,1366702251,2013-04-23 07:30:51+00:00,3,"43.75927356,-72.32923496"
u00,1367800777,2013-05-06 00:39:37+00:00,3,"48.85875992,2.36238333"
u00,1367886692,2013-05-07 00:31:32+00:00,4,"48.85374768,2.32779888"
u00,1368173175,2013-05-10 08:06:15+00:00,4,"43.75915207,-72.32893824"
u00,1368292836,2013-05-11 17:20:36+00:00,4,"43.75928658,-72.32924066"
u00,1368378399,2013-05-12 17:06:39+00:00,2,"43.75935021,-72.32916566"
u00,1368457494,2013-05-13 15:04:54+00:00,3,"43.75940174,-72.32918372"
u00,1368544017,2013-05-14 15:06:57+00:00,4,"43.75883975,-72.32934752"
u00,1369154095,2013-05-21 16:34:55+00:00,1,"43.70625307,-72.28700801"
u00,1369462231,2013-05-25 06:10:31+00:00,2,"38.9057069,-77.03396292"
u00,1369625942,2013-05-27 03:39:02+00:00,2,"43.75912044,-72.3291579"
u00,1369706424,2013-05-28 02:00:24+00:00,2,"43.70659363,-72.28727549"
u00,1369794914,2013-05-29 02:35:14+00:00,2,"43.70434788,-72.28657033"
u00,1369879854,2013-05-30 02:10:54+00:00,2,Unknown
u00,1369965660,2013-05-31 02:01:00+00:00,3,"43.70006541,-72.29016831"
u00,1370139580,2013-06-02 02:19:40+00:00,2,"43.73283379,-72.25842981"
u00,1370239154,2013-06-03 05:59:14+00:00,1,"43.75910573,-72.32818315"
u00,1370311653,2013-06-04 02:07:33+00:00,1,"43.70258236,-72.28403025"
u00,1370496946,2013-06-06 05:35:46+00:00,2,"43.66724891,-72.31884989"
u01,1364118416,2013-03-24 09:46:56+00:00,,
u01,1364119584,2013-03-24 10:06:24+00:00,,
u01,1364120318,2013-03-24 10:18:38+00:00,,
u01,1364121003,2013-03-24 10:30:03+00:00,,
u01,1364122098,2013-03-24 10:48:18+00:00,,
u01,1364359545,2013-03-27 04:45:45+00:00,4,"43.70693516,-72.28748551"
u01,1364359547,2013-03-27 04:45:47+00:00,4,"43.70640008,-72.28886262"
u01,1364423876,2013-03-27 22:37:56+00:00,2,"43.70678246,-72.289184"
u01,1364538014,2013-03-29 06:20:14+00:00,4,"43.70696787,-72.28902663"
u01,1364623214,2013-03-30 06:00:14+00:00,3,"43.70698995,-72.28913573"
u01,1364711972,2013-03-31 06:39:32+00:00,4,"43.70680994,-72.28923207"
u01,1365011666,2013-04-03 17:54:26+00:00,2,"43.70506577,-72.29201827"
u01,1365134898,2013-04-05 04:08:18+00:00,4,"43.70674954,-72.28920665"
u01,1365223042,2013-04-06 04:37:22+00:00,4,"43.69935393,-72.29030653"
u01,1365223069,2013-04-06 04:37:49+00:00,4,"43.69935393,-72.29030653"
u01,1365321158,2013-04-07 07:52:38+00:00,3,"43.70670639,-72.28907917"
u01,1365402604,2013-04-08 06:30:04+00:00,4,"43.70644183,-72.2892299"
u01,1365625543,2013-04-10 20:25:43+00:00,3,"43.70678215,-72.28917973"
u01,1365798499,2013-04-12 20:28:19+00:00,2,"43.70684932,-72.28899775"
u01,1366092021,2013-04-16 06:00:21+00:00,4,"43.7067925,-72.28917303"
u01,1366178407,2013-04-17 06:00:07+00:00,4,"43.70680473,-72.28919958"
u01,1366269768,2013-04-18 07:22:48+00:00,4,"43.70687856,-72.28943709"
u01,1366354101,2013-04-19 06:48:21+00:00,4,"43.7064275,-72.28908974"
u02,1364118723,2013-03-24 09:52:03+00:00,,
u02,1364121906,2013-03-24 10:45:06+00:00,,
u02,1364121907,2013-03-24 10:45:07+00:00,,
u02,1364121909,2013-03-24 10:45:09+00:00,,
u02,1364122030,2013-03-24 10:47:10+00:00,,
u02,1364349643,2013-03-27 02:00:43+00:00,3,"43.70722118,-72.29347434"
u02,1364537036,2013-03-29 06:03:56+00:00,4,"43.70704851,-72.29352529"
u02,1364640150,2013-03-30 10:42:30+00:00,3,"43.70709166,-72.29282882"
u02,1364796476,2013-04-01 06:07:56+00:00,3,"43.70712733,-72.29338199"
u02,1365135357,2013-04-05 04:15:57+00:00,3,"43.7070604,-72.29313622"
u02,1365315064,2013-04-07 06:11:04+00:00,3,"43.70695809,-72.29258525"
u02,1365405374,2013-04-08 07:16:14+00:00,4,"43.70620445,-72.29116858"
u02,1365489038,2013-04-09 06:30:38+00:00,2,"43.70719741,-72.29304273"
u02,1365624992,2013-04-10 20:16:32+00:00,3,"43.7069528,-72.2931724"
u02,1365710413,2013-04-11 20:00:13+00:00,4,"43.70791892,-72.28484015"
u02,1365797140,2013-04-12 20:05:40+00:00,3,"43.70847866,-72.28433145"
u02,1365883787,2013-04-13 20:09:47+00:00,2,"43.70725458,-72.29319166"
u02,1365970956,2013-04-14 20:22:36+00:00,2,"43.70306572,-72.29094266"
u02,1366092013,2013-04-16 06:00:13+00:00,2,"43.70685857,-72.29270076"
u02,1366264984,2013-04-18 06:03:04+00:00,3,"43.70709895,-72.29314257"
u02,1366524421,2013-04-21 06:07:01+00:00,3,"43.70730987,-72.29311925"
u02,1366611496,2013-04-22 06:18:16+00:00,3,"43.70637115,-72.28677143"
u02,1366697581,2013-04-23 06:13:01+00:00,2,"43.70597948,-72.28876093"
u02,1367821922,2013-05-06 06:32:02+00:00,3,"43.70733654,-72.29309241"
