user_id,course_id,due,experience,hours,location,resp_time
u30,CS65,2,3,1,"43.70240618,-72.28732915",1364583786
u30,CS50,2,1,3,"43.70240618,-72.28732915",1364593581
u30,Music 3,2,3,2,"43.70324769,-72.29030293",1365015405
u30,CS 50,2,3,7,"43.70216667,-72.2862385",1365015403
u30,CS 65,1,2,3,"43.70216667,-72.2862385",1365015403
u30,CS 65,2,3,1,"43.70294473,-72.28772261",1365285713
u30,CS 50,2,3,2,"43.70294473,-72.28772261",1365285720
u30,Music 3,1,3,4,"43.70294473,-72.28772261",1365285720
u30,CS 50,2,3,3,"43.70294473,-72.28772261",1365285713
u30,CS 65,2,2,1,"43.70294473,-72.28772261",1365285720
u30,CS 50,2,3,1,"43.70260784,-72.28705135",1365566409
u30,Music 3,2,3,3,"43.70260784,-72.28705135",1365566409
u30,CS 50,2,3,1,"43.70377413,-72.29073246",1365675907
u30,CS 65,2,3,2,"43.70377413,-72.29073246",1365675907
u30,Music 3,2,3,1,"43.70301736,-72.28773771",1366159664
u30,Music 3,2,3,3,"43.70232979,-72.28706023",1365725279
u30,CS 65,2,3,1,"43.70232979,-72.28706023",1365725254
u30,CS 50,2,3,2,"43.70301736,-72.28773771",1366159591
u30,CS 65,2,3,1,"43.70267956,-72.28791803",1366246528
u30,CS 50,2,3,5,"43.7024116,-72.28734492",1366246503
u30,CS 65,2,3,3,"41.23064284,-73.0728831",1366710464
u30,CS 50,2,3,10,"41.23064284,-73.0728831",1366710521
u30,CS 65,2,3,1,"43.7024991,-72.28938342",1367562616
u30,Music 3,2,2,1,"43.7024991,-72.28938342",1367562641
u51,cs165,2,1,1,"43.70651977,-72.28705416",1364609142
u51,cs65,2,1,1,"43.69935689,-72.29051287",1364537167
u51,no class today,2,1,5,"43.65187205,-72.30975063",1364720334
u51,none,2,1,1,"43.7064344,-72.28715538",1364776553
u51,cs165,2,1,1,"43.70659353,-72.2869791",1364872788
u51,cs165,2,1,1,"43.6944476,-72.28377596",1365202334
u51,none,2,1,1,"43.63775583,-72.27461681",1365292075
u51,CS170,1,1,1,"43.70660044,-72.28702986",1365554697
u51,cs165,2,1,1,"43.70637441,-72.28703898",1366243374
u51,none,2,1,1,"43.70664201,-72.28687051",1365897668
u51,cs170,2,1,3,"43.70628524,-72.28705371",1365732308
u51,cs165,1,1,5,"43.7065978,-72.28709206",1366067852
u51,cs165,1,1,1,Unknown,1366077094
u51,cs170,1,1,7,"43.69730937,-72.28441371",1366156989
u51,cs170,2,1,1,"43.70862775,-72.28345986",1366315063
u51,cs170,2,1,1,"43.70057317,-72.28671215",1366772895
u51,na,2,1,1,"43.70657735,-72.28707451",1366847200
u47,cs165,2,1,4,"43.68074778467417,-72.32198006473482",1364706633
u47,cs65,1,3,6,"43.7075920868665,-72.28532021865249",1366071434
u47,cs65,2,1,4,"43.68139323312789,-72.32200630009174",1365736993
u47,cs65,2,1,10,"43.681445620022714,-72.32166423462331",1365897718
u10,cs65,2,1,3,"43.70645395,-72.28818327",1364609267
u10,cs50,2,3,2,"43.70644884,-72.28820168",1364609270
u10,cs50,2,3,4,"43.70710471,-72.28730696",1364867015
u10,cs65,2,3,2,"43.70582994,-72.28763412",1364411483
u10,cs 65,2,1,5,"43.70647211,-72.28802604",1364609265
u10,bio4,2,3,3,"43.70312458,-72.28787646",1364693896
u10,cs65,2,3,6,"43.70243257,-72.28772434",1364785997
u10,cs65,2,1,4,"43.70710471,-72.28730696",1364843535
u10,bio4,2,3,2,"43.70679334,-72.28767766",1364947307
u10,cs65,2,4,2,"43.70613435,-72.28844824",1365030222
u10,cs50,2,3,7,"43.70168352,-72.28807511",1365041229
u10,cs65,2,3,2,"43.70785919,-72.28512608",1365114368
u10,bio4,2,1,3,"43.70173422,-72.28775943",1365125451
u10,cs50,2,1,6,"43.70173422,-72.28775943",1365201066
u10,cs65,1,3,4,"43.70238375,-72.28772441",1365468590
u10,cs50,2,3,4,"43.70278942,-72.28658418",1365473729
u10,bio4,2,5,1,"43.70278942,-72.28658418",1365553987
u10,cs65,1,2,1,"43.7050225,-72.28939767",1366093088
u10,cs50,2,3,7,"43.7050225,-72.28939767",1366093117
u10,cs65,2,1,3,"43.70278942,-72.28658418",1365641932
u10,cs50,2,3,6,"43.70278942,-72.28658418",1365656966
u10,bio4,2,4,3,"43.70278942,-72.28658418",1365726192
u10,cs50,2,4,6,"43.70278942,-72.28658418",1365834098
u10,cs65,2,3,4,"43.70278942,-72.28658418",1365819308
u10,cs50,2,1,6,"43.70278942,-72.28658418",1365897952
u10,cs50,2,3,2,"43.7050225,-72.28939767",1366159124
u10,cs50,2,3,4,"43.7050225,-72.28939767",1366259427
u10,cs64,2,3,3,"43.7050225,-72.28939767",1366247116
u10,cs50,2,3,1,"43.70665284,-72.28802865",1366409036
u10,cs65,2,1,6,"43.70665284,-72.28802865",1366409018
u10,cs65,1,1,1,"43.70405592,-72.28746765",1366595754
u10,cs65,1,3,1,"43.70324408,-72.28961597",1366661859
u10,bio4,2,1,1,"43.70324408,-72.28961597",1366757405
u10,cs50,2,2,5,"43.70324408,-72.28961597",1366683615
u10,cs50,2,1,10,"43.70324408,-72.28961597",1366855284
u10,cs50,2,3,6,"43.70324408,-72.28961597",1366768073
u46,CS50,2,4,1,"43.70675529,-72.28728531",1365026961
u46,CS50,1,3,4,"43.7044068,-72.28971584",1364853026
u46,ECON36,2,1,3,"43.70509059,-72.29282176",1365012102
u46,CS65,1,3,5,"43.7044068,-72.28971584",1364847596
u46,CS65,2,2,6,"43.70509059,-72.29282176",1365018433
u46,CS50,2,3,3,"43.70600821,-72.28803551",1365199288
u46,CS65,2,3,1,"43.70744948,-72.28545819",1365187667
u46,ECON36,2,1,1,"43.70744948,-72.28545819",1365187648
u46,CS65,1,3,4,"43.7038898,-72.287724",1365465688
u46,ECON37,2,2,4,"43.7038898,-72.287724",1365465688
u46,CS65,2,4,2,"43.70450188,-72.2971835",1365798397
u46,ECON36,2,3,3,"43.70450188,-72.2971835",1365798411
u46,CS50,2,4,12,"43.70586884,-72.28784833",1366243290
u50,cs65 cs60,2,2,5,"43.7066734,-72.28707417",1364605117
u50,,1,1,11,"43.70664877,-72.28717946",1364781933
u50,cs65 cs60,2,2,6,"43.70662366,-72.2871792",1364867449
u50,no class,2,1,12,"43.70691805,-72.28722721",1364943117
u50,cs65,2,1,7,"43.70570507,-72.28332967",1365116596
u50,cs65 cs60,2,2,9,"43.70858707,-72.28423771",1365202880
u50,"cs65, cs60",1,3,7,"43.70667651,-72.28720535",1365467944
u50,,2,1,7,"43.7066987,-72.28722114",1365554457
u50,cs65 cs60,2,2,11,"43.70679304,-72.28704022",1365642274
u50,cs65,2,2,11,"43.70634061,-72.28723183",1365725457
u50,"cs65,cs60",2,2,8,"43.70687358,-72.2872396",1365814946
u50,,2,1,6,"43.7067665,-72.28722029",1365910411
u50,cs60 cs65,1,3,8,"43.70625729,-72.28714244",1366077109
u07,cs77,2,4,1,"43.70200398,-72.28793859",1364513669
u07,cs65,2,3,1,"43.70392608,-72.28391071",1364583711
u07,cs60,2,2,3,"43.70853656,-72.28421485",1364424839
u07,cs65,2,3,3,"43.7040066,-72.28391899",1364411267
u07,cs65,2,3,2,"43.70432208,-72.28794944",1364504445
u07,cs65,2,3,4,"43.70878398,-72.28424859",1364843219
u07,cs60,2,3,2,"43.70302271,-72.28557646",1364857255
u07,cs77,2,4,2,"43.70393516,-72.28368383",1364946243
u07,cs 65,2,1,3,"43.70910489,-72.2849146",1365018952
u07,cs 60,2,2,3,"43.70410765,-72.28384747",1365029941
u07,cs77,2,4,1,"43.70387324,-72.2836399",1365616636
u07,cs65,2,3,1,"43.70829698,-72.28430122",1365713542
u07,cs65,2,3,1,"43.70416133,-72.28362449",1365672710
u07,cs77,2,3,4,"43.70829698,-72.28430122",1365734632
u07,cs60,2,4,1,"43.70829698,-72.28430122",1365716115
u07,cs 77,1,4,7,"43.70366889,-72.28404405",1366328279
u07,cs60,1,2,12,"43.70846713,-72.28425547",1366070080
u07,cs 65,2,3,2,"43.70366889,-72.28404405",1366328278
u07,cs 60,2,2,3,"43.70416614,-72.28370053",1366244987
u07,cs65,2,3,3,"43.70412254,-72.28381654",1366245005
u07,cs 65,2,3,1,"43.70375498,-72.28370087",1366398046
u07,cs 60,2,3,5,"43.70413027,-72.28378295",1366440550
u07,cs 65,1,1,9,"43.70425769,-72.28391582",1366752567
u07,cs 65,1,3,11,"43.70425769,-72.28391582",1366752585
u07,cs77,2,1,2,"43.70425769,-72.28391582",1366761481
u27,cs 65,2,1,4,"43.70405331,-72.28579164",1364690401
u27,japn33,2,2,2,"43.70655446,-72.28713909",1364503039
u27,film 42,2,3,4,"43.70274374,-72.28756665",1364541625
u27,cs65,2,1,1,"43.70754161,-72.28527106",1364583738
u27,econ 24,1,1,3,"43.70413216,-72.28586105",1364860823
u27,econ 24,1,1,3,"43.70389316,-72.28575202",1364782076
u27,cs65,2,4,1,"43.70435602,-72.28669392",1365015557
u27,cs65,2,1,4,"43.70413216,-72.28586105",1364849556
u27,japn 33,1,3,2,"43.70388196,-72.28583882",1364942576
u27,japn33,1,3,4,"43.70360692,-72.28575871",1365027244
u27,cs65,1,1,5,"43.70586093,-72.28868897",1365447142
u27,econ24,1,1,2,"43.70475035,-72.28638803",1365187438
u27,econ24,1,1,5,"43.70586093,-72.28868897",1365447124
u27,japn33,1,3,3,"43.70494158,-72.28811294",1366423092
u27,econ24,1,1,4,"43.70494158,-72.28811294",1366423120
u27,cs65,2,1,1,"43.7040426,-72.28552632",1365818496
u27,cs65,2,1,3,"43.70400104,-72.28585139",1366245784
u27,econ 24,1,1,2,"43.70424431,-72.28559775",1366305406
