user_id,happy,happyornot,location,resp_time,sad,sadornot
u56,2,1,"43.65343006,-72.24009132",1366872822,1,2
u56,2,1,"43.71647064,-72.30915958",1368776469,1,2
u56,2,1,Unknown,1369008540,1,2
u01,2,1,"43.70673326,-72.28908826",1366878848,1,1
u01,2,1,"43.70670928,-72.28905161",1368693668,1,1
u17,1,1,Unknown,1367209995,2,1
u17,2,1,"43.70440297,-72.29096024",1367798492,3,1
u17,1,2,"43.704622379999996,-72.29115798",1368602159,4,1
u17,1,2,"43.704622379999996,-72.29115798",1368686810,4,1
u17,1,2,"43.70419436,-72.29111957",1368784360,3,1
u17,1,2,"43.70648669,-72.28860157",1368860877,2,1
u17,1,2,"43.70465377,-72.29113067",1369250134,4,1
u17,1,2,Unknown,1369397238,3,1
u17,1,2,Unknown,1369527969,4,1
u17,1,1,"43.70583041,-72.28925846",1369975077,3,1
u36,2,1,"43.70684754,-72.28687175",1367800521,1,2
u36,1,2,"43.70660745,-72.28715491",1368601894,1,1
u36,1,2,"43.70660881,-72.28706869",1368688618,1,2
u36,1,2,"43.70668373,-72.28701933",1369277214,1,2
u16,1,1,"43.70381392,-72.29084126",1366956931,4,1
u16,1,2,"43.70383449,-72.29122954",1367037294,1,1
u16,1,2,"43.70381392,-72.29084126",1367006807,1,1
u16,3,1,"43.70376088,-72.29035391",1367341931,1,2
u16,2,1,Unknown,1367443156,1,2
u16,1,1,"43.70355342,-72.29047722",1367691606,1,2
u16,2,1,"43.70369577,-72.29064258",1367799036,1,1
u16,2,1,"43.70369577,-72.29064258",1367860645,2,1
u16,4,1,Unknown,1368386071,1,2
u16,3,1,"43.70391463,-72.28988644",1368506811,1,1
u16,2,1,"43.70317722,-72.28939878",1368290120,1,1
u16,2,1,"43.70534496,-72.29049134",1367948858,1,1
u16,3,1,"43.70374249,-72.29050587",1368691411,3,1
u16,1,1,"43.70391463,-72.28988644",1368597705,1,1
u16,1,1,"43.70391463,-72.28988644",1368576687,2,1
u16,3,1,"43.70374249,-72.29050587",1368653757,1,1
u16,1,1,Unknown,1369104334,3,1
u16,3,1,"43.70241487,-72.28957711",1369194923,1,1
u16,1,1,"43.70688262,-72.28760657",1369277556,3,1
u16,3,1,"43.70675104,-72.28740962",1369365516,3,1
u16,3,1,"43.70372826,-72.29097234",1369417088,1,1
u00,1,2,"43.75921839,-72.32919741",1366870195,3,1
u00,2,1,Unknown,1366857633,4,1
u00,2,1,"43.71332016,-72.30876457",1368718987,1,1
u00,3,1,"43.75880824,-72.32925862",1368631462,1,2
u00,2,1,"43.75929012,-72.32904032",1368802750,1,null
u00,1,null,"43.75906255,-72.32936718",1369104096,1,null
u00,1,2,"43.70685166,-72.28720734",1369195078,1,2
u00,1,1,"43.7065519,-72.28701015",1369276811,1,1
u00,1,null,"43.70206745,-72.2892032",1375840039,1,null
u00,1,null,"43.70579481,-72.28577693",1376106249,1,null
u57,1,1,"43.7031375,-72.288385",1367798652,1,1
u57,3,1,"43.70202283,-72.28836255",1368597724,2,1
u57,3,1,Unknown,1368685637,1,1
u57,2,1,"43.70717596,-72.28870177",1368858027,1,1
u57,4,1,"43.70652906,-72.28898752",1368928822,1,2
u57,2,1,"43.70680959,-72.2889535",1369101979,1,1
u27,1,1,"43.70397847,-72.28588885",1366869655,1,1
u27,1,1,"43.70280519,-72.28785466",1368611729,1,1
u27,1,2,"43.70403943,-72.28582225",1368791647,1,2
u50,2,1,"43.70683014,-72.28707801",1368599557,1,2
u07,1,1,"43.70362097,-72.28406105",1366871100,2,1
u46,2,1,"43.70578779,-72.2877792",1366869080,1,1
u46,2,1,"43.70339387,-72.28685841",1368684350,1,1
u47,3,1,"43.70307348668575,-72.29181686416268",1369102132,1,2
u47,3,1,"43.706723637878895,-72.28743882849813",1369274704,1,2
u10,2,1,"43.7062393,-72.28864412",1367036273,1,2
u10,2,1,"43.70324408,-72.28961597",1366852979,1,2
u10,1,1,"43.70297206,-72.28625376",1366868400,1,2
u10,1,2,"43.70297206,-72.28625376",1366876744,1,2
u10,1,2,"43.70330372,-72.2898598",1366907707,1,2
u10,1,2,"43.70330372,-72.2898598",1366993857,1,2
u10,2,1,"43.70324666,-72.29028792",1368692438,1,2
u10,1,2,"43.70620585,-72.28792804",1368776280,1,2
u10,1,2,"43.70324666,-72.29028792",1368636280,1,null
u51,1,1,"43.70659881,-72.28704116",1366871622,1,2
u51,1,1,"43.70526533,-72.29056337",1368771003,1,2
u51,1,1,"43.70526533,-72.29056337",1368771026,1,null
u51,1,1,"43.70662606,-72.28697819",1368602564,1,2
u51,1,2,"43.69379877,-72.28784757",1368691945,2,1
u51,1,1,"43.70661275,-72.28699443",1368933443,1,1
u51,1,2,"43.70529305,-72.28786129",1369276858,1,2
u51,1,1,"43.6285899,-72.32269504",1369456103,1,2
u30,3,1,"41.23064284,-73.0728831",1366862483,1,2
u33,3,1,"43.7028052,-72.2897034",1366848399,1,2
u33,1,1,"43.70424979,-72.29438547",1367306592,3,1
u33,2,1,"43.70142001,-72.28955183",1366870845,2,1
u33,2,1,"43.70448941,-72.29018871",1367798411,3,1
u33,1,2,"43.70340016,-72.29598785",1368928852,4,1
u33,1,2,"43.70339898,-72.29596704",1369101955,4,1
u33,1,2,"43.70329533,-72.29616783",1369275692,4,1
u44,2,1,"43.69232973,-72.26724211",1366873426,1,2
u44,2,1,"43.69236154,-72.2671355",1367359759,1,2
u44,2,1,"43.69175278,-72.26719117",1368598658,1,2
u44,1,1,"43.70697752,-72.28728895",1367802281,1,1
u52,3,1,"43.70717786666667,-72.2892299",1366873015,1,1
u52,1,2,Unknown,1368856799,4,1
u53,2,1,"43.7054908,-72.28339756",1366879720,1,2
u53,2,1,"43.70535517,-72.28299243",1368787788,1,2
u53,1,2,"43.70552426,-72.28322683",1368599510,1,1
u04,1,1,"43.70420222,-72.28562222",1366875307,4,1
u04,2,1,"43.70212944,-72.28954547",1367799541,1,2
u04,2,1,"43.7026866,-72.28761377",1368696415,1,1
u04,2,1,"43.7019109,-72.28816483",1368599232,1,1
