user_id,resp_time,datetime_utc,challenge,effort,grade,location
u12,1367706597,2013-05-04 22:29:57+00:00,1,1,5,"43.63746124,-72.24829138"
u04,1367449748,2013-05-01 23:09:08+00:00,1,2,2,"43.70409969,-72.28766526"
u04,1367881170,2013-05-06 22:59:30+00:00,1,1,3,"43.70301713,-72.28946281"
u53,1367008251,2013-04-26 20:30:51+00:00,1,1,4,"43.70600018,-72.28919438"
u53,1367364182,2013-04-30 23:23:02+00:00,1,1,4,"43.70551541,-72.28331258"
u53,1367449216,2013-05-01 23:00:16+00:00,1,1,4,"43.70559988,-72.28313601"
u49,1367091362,2013-04-27 19:36:02+00:00,1,1,1,"43.707123623543964,-72.29069780241105"
u49,1367450619,2013-05-01 23:23:39+00:00,1,1,1,Unknown
u49,1367535627,2013-05-02 23:00:27+00:00,1,1,1,"43.707151418494384,-72.29058943316315"
u49,1367791406,2013-05-05 22:03:26+00:00,1,1,1,Unknown
u49,1367791408,2013-05-05 22:03:28+00:00,1,1,1,Unknown
u49,1367791407,2013-05-05 22:03:27+00:00,1,1,1,Unknown
u49,1368172699,2013-05-10 07:58:19+00:00,3,3,1,"43.70712961272113,-72.29074071996821"
u49,1368828918,2013-05-17 22:15:18+00:00,3,1,1,"43.70600375009001,-72.28871367120003"
u49,1369376920,2013-05-24 06:28:40+00:00,2,1,1,"43.70706086014926,-72.29065677866436"
u08,1366960508,2013-04-26 07:15:08+00:00,1,1,1,"43.70277439,-72.28880163"
u08,1367022566,2013-04-27 00:29:26+00:00,1,1,1,"43.70295661,-72.28995533"
u08,1367450306,2013-05-01 23:18:26+00:00,1,1,1,"43.7040466,-72.28792335"
u08,1367399781,2013-05-01 09:16:21+00:00,1,1,1,"43.70708811,-72.28767562"
u08,1367445434,2013-05-01 21:57:14+00:00,1,1,1,"43.70708811,-72.28767562"
u08,1367745556,2013-05-05 09:19:16+00:00,1,1,1,"43.7037094,-72.28660102"
u08,1367898679,2013-05-07 03:51:19+00:00,4,1,1,"43.7049437,-72.28880281"
u08,1369316334,2013-05-23 13:38:54+00:00,4,4,1,"43.70447785,-72.29155849"
u32,1366949963,2013-04-26 04:19:23+00:00,2,2,1,"43.70608389,-72.29104393"
u32,1367364236,2013-04-30 23:23:56+00:00,2,1,1,"43.47216071,-71.99885894"
u33,1368323850,2013-05-12 01:57:30+00:00,1,1,2,"43.70254396,-72.29281415"
u44,1366907362,2013-04-25 16:29:22+00:00,2,1,1,"43.69221585,-72.26709452"
u44,1367793689,2013-05-05 22:41:29+00:00,2,1,1,"43.70747184,-72.2873165"
u18,1366940431,2013-04-26 01:40:31+00:00,1,1,1,"43.70623193,-72.28691743"
u59,1367003725,2013-04-26 19:15:25+00:00,2,2,1,"43.70639749802649,-72.28827835991979"
u59,1366913355,2013-04-25 18:09:15+00:00,3,2,1,"43.70576537679881,-72.28925870731473"
u59,1367366363,2013-04-30 23:59:23+00:00,1,1,1,"43.70579710230231,-72.29083056561649"
u59,1367348584,2013-04-30 19:03:04+00:00,1,1,1,"43.70579710230231,-72.29083056561649"
u59,1367449309,2013-05-01 23:01:49+00:00,1,1,1,"43.70270350947976,-72.28954746387899"
u59,1368835427,2013-05-18 00:03:47+00:00,2,1,1,"43.70526376180351,-72.28888688609004"
u59,1369858145,2013-05-29 20:09:05+00:00,1,1,1,Unknown
u22,1367793932,2013-05-05 22:45:32+00:00,3,2,1,Unknown
u43,1367363254,2013-04-30 23:07:34+00:00,1,2,1,"43.70684508,-72.28713045"
u43,1367453491,2013-05-02 00:11:31+00:00,1,1,1,"43.70566888,-72.29157338"
u14,1367366338,2013-04-30 23:58:58+00:00,1,1,1,"43.70502212,-72.28767955"
u14,1367450111,2013-05-01 23:15:11+00:00,1,1,1,"43.70595378,-72.28847925"
u02,1366927238,2013-04-25 22:00:38+00:00,1,1,1,"43.70870796,-72.28461773"
u39,1366921933,2013-04-25 20:32:13+00:00,1,1,1,"43.70691563,-72.28615388"
u54,1367457963,2013-05-02 01:26:03+00:00,3,3,1,"43.70499216,-72.2946349"
u03,1367005506,2013-04-26 19:45:06+00:00,2,3,1,"43.70532889,-72.2831334"
u03,1367284575,2013-04-30 01:16:15+00:00,5,2,1,"43.705163399999996,-72.28289165"
u03,1367803102,2013-05-06 01:18:22+00:00,3,2,1,"43.70534815,-72.28310122"
u42,1367454873,2013-05-02 00:34:33+00:00,1,2,3,"43.6586341,-72.24888811"
u42,1367537614,2013-05-02 23:33:34+00:00,1,2,3,"43.70682003,-72.28641301"
u42,1367881988,2013-05-06 23:13:08+00:00,3,1,3,"43.70372066,-72.28927093"
u35,1367364139,2013-04-30 23:22:19+00:00,2,1,1,"43.70462528,-72.30440054"
u58,1367008555,2013-04-26 20:35:55+00:00,3,1,1,"43.70607202,-72.28334181"
u58,1367004132,2013-04-26 19:22:12+00:00,3,1,1,"43.7061874,-72.28305411"
u58,1366959764,2013-04-26 07:02:44+00:00,4,1,1,"43.70615354,-72.28325043"
u58,1367093712,2013-04-27 20:15:12+00:00,3,1,1,"43.70402022,-72.28262527"
u58,1367362815,2013-04-30 23:00:15+00:00,3,1,1,"43.70618386,-72.28315307"
u58,1368416719,2013-05-13 03:45:19+00:00,4,1,1,"43.70647378,-72.28294033"
u58,1368237629,2013-05-11 02:00:29+00:00,4,1,1,"43.70617903,-72.28339178"
u19,1367090077,2013-04-27 19:14:37+00:00,2,1,1,"43.70677529,-72.2870866"
u19,1367372634,2013-05-01 01:43:54+00:00,2,1,1,"43.70101204,-72.28677708"
u19,1368217899,2013-05-10 20:31:39+00:00,2,2,1,"43.70680418,-72.28601166"
