user_id,course_id,due,experience,hours,location,resp_time,datetime_utc
u00,"cs65
",2,3,1,"43.70544533,-72.28679012",1364271993,2013-03-26 04:26:33+00:00
u00,,1,1,1,"43.75932116,-72.32890406",1364357271,2013-03-27 04:07:51+00:00
u00,c65,2,3,2,"43.70465788,-72.2887224",1364429426,2013-03-28 00:10:26+00:00
u00,cs65,2,2,1,"43.70033175,-72.28949659",1364509180,2013-03-28 22:19:40+00:00
u00,cs65,2,3,2,"43.70688502,-72.28755706",1364516771,2013-03-29 00:26:11+00:00
u00,cs65,2,3,1,"43.70777831,-72.28510534",1364583727,2013-03-29 19:02:07+00:00
u00,cs66,2,3,3,"43.70587194,-72.28717655",1364601962,2013-03-30 00:06:02+00:00
u00,,2,1,1,"43.76243366,-72.32615434",1364779548,2013-04-01 01:25:48+00:00
u00,cs65,1,2,4,"43.70534371,-72.28812527",1364857571,2013-04-01 23:06:11+00:00
u00,"cs65
",2,3,3,Unknown,1364940107,2013-04-02 22:01:47+00:00
u00,cs65,2,3,7,"43.70708859,-72.28753397",1365115495,2013-04-04 22:44:55+00:00
u00,"cs65
",1,2,6,"43.70708859,-72.28753397",1365194241,2013-04-05 20:37:21+00:00
u00,"econ 112

",2,3,6,"43.70708859,-72.28753397",1365203028,2013-04-05 23:03:48+00:00
u00,cs65,2,3,7,"43.75927189,-72.32919082",1365416712,2013-04-08 10:25:12+00:00
u00,cs65,1,3,7,"43.70664656,-72.28802135",1365552178,2013-04-10 00:02:58+00:00
u00,"cs65
",2,3,7,"43.70112711,-72.28654942",1365724838,2013-04-12 00:00:38+00:00
u00,cs65,1,2,6,Unknown,1365897927,2013-04-14 00:05:27+00:00
u00,cs65,1,1,9,"43.70527272,-72.28801274",1366070489,2013-04-16 00:01:29+00:00
u00,cs65,2,3,5,"43.70564911,-72.28828499",1366311241,2013-04-18 18:54:01+00:00
u00,cs65,1,3,7,"43.17964043,-71.53319806",1366419650,2013-04-20 01:00:50+00:00
u00,cs65,2,4,7,"43.7066689,-72.28741879",1366769156,2013-04-24 02:05:56+00:00
u00,cs65,2,3,11,"43.70188823,-72.28930991",1367008835,2013-04-26 20:40:35+00:00
u01,no class today,2,1,1,"43.70715076,-72.28896815",1364359547,2013-03-27 04:45:47+00:00
u01,Engs22,2,4,2,"43.70584333,-72.29017652",1364407589,2013-03-27 18:06:29+00:00
u01,Cs65,2,3,1,"43.70678239,-72.28918145",1364423919,2013-03-27 22:38:39+00:00
u01,Anth12,1,4,2,"43.70678414,-72.28915682",1364423966,2013-03-27 22:39:26+00:00
u01,Anth12 ,1,4,2,"43.70678554,-72.2892457",1364428849,2013-03-28 00:00:49+00:00
u01,Engs22,2,5,1,"43.70670639,-72.28914746",1364603520,2013-03-30 00:32:00+00:00
u01,Cs65,2,3,1,"43.7067041,-72.28916968",1364603539,2013-03-30 00:32:19+00:00
u01,Anth12,2,5,2,"43.70672295,-72.28910432",1364603572,2013-03-30 00:32:52+00:00
u01,Anth12 ,2,4,1,"43.70684413,-72.2891193",1364882607,2013-04-02 06:03:27+00:00
u01,Engs22,1,5,6,"43.70517994,-72.29245008",1365011646,2013-04-03 17:54:06+00:00
u01,Cs65 ,2,3,1,"43.70609229,-72.28950805",1365017165,2013-04-03 19:26:05+00:00
u01,Anth12 ,1,5,2,"43.70508217,-72.29054506",1365029096,2013-04-03 22:44:56+00:00
u01,Cs65 ,2,3,1,"43.70859285,-72.28442358",1365108818,2013-04-04 20:53:38+00:00
u01,Anth12 ,2,4,1,"43.70691657,-72.28849213",1365195585,2013-04-05 20:59:45+00:00
u01,Engs22 ,1,1,1,"43.70542081,-72.29035437",1365449098,2013-04-08 19:24:58+00:00
u01,Cs65 ,2,1,1,"43.70542015,-72.29039125",1365449224,2013-04-08 19:27:04+00:00
u01,Anth12 ,1,5,2,"43.70424475,-72.28958517",1365469062,2013-04-09 00:57:42+00:00
u01,Engs22 ,1,1,6,"43.70687149,-72.28907564",1365623549,2013-04-10 19:52:29+00:00
