uid,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31
u01,0.0,5.0,3.0,2.0,0.0,0.0
u02,0.0,7.0,5.0,0.0,0.0,0.0
u03,0.0,10.0,5.0,0.0,0.0,0.0
u04,0.0,4.0,3.0,0.0,0.0,0.0
u05,1.0,8.0,8.0,0.0,0.0,0.0
u07,0.0,12.0,8.0,0.0,0.0,0.0
u08,0.0,9.0,9.0,0.0,0.0,0.0
u09,0.0,4.0,3.0,0.0,0.0,0.0
u10,1.0,8.0,8.0,1.0,0.0,0.0
u12,2.0,13.0,12.0,0.0,0.0,0.0
u13,0.0,7.0,4.0,0.0,0.0,0.0
u14,1.0,15.0,8.0,1.0,0.0,0.0
u15,0.0,6.0,7.0,0.0,0.0,0.0
u16,1.0,8.0,5.0,1.0,0.0,0.0
u17,0.0,7.0,5.0,0.0,0.0,0.0
u18,0.0,14.0,10.0,0.0,0.0,0.0
u19,1.0,15.0,11.0,0.0,0.0,0.0
u20,0.0,10.0,5.0,0.0,0.0,0.0
u22,1.0,7.0,6.0,0.0,0.0,0.0
u23,0.0,7.0,4.0,0.0,0.0,0.0
u24,0.0,10.0,9.0,0.0,0.0,0.0
u25,0.0,4.0,4.0,3.0,0.0,0.0
u27,0.0,9.0,11.0,0.0,0.0,0.0
u30,2.0,11.0,13.0,0.0,0.0,0.0
u31,0.0,7.0,5.0,0.0,0.0,0.0
u32,1.0,11.0,12.0,1.0,0.0,0.0
u33,0.0,13.0,14.0,1.0,0.0,0.0
u34,0.0,7.0,4.0,0.0,0.0,0.0
u35,0.0,7.0,4.0,0.0,0.0,0.0
u41,1.0,7.0,6.0,0.0,0.0,0.0
u42,0.0,7.0,4.0,0.0,0.0,0.0
u44,0.0,9.0,6.0,0.0,0.0,0.0
u45,0.0,7.0,4.0,0.0,0.0,0.0
u46,1.0,8.0,7.0,1.0,0.0,0.0
u47,0.0,9.0,6.0,0.0,0.0,0.0
u49,5.0,40.0,38.0,1.0,0.0,0.0
u50,0.0,9.0,6.0,0.0,0.0,0.0
u51,0.0,7.0,4.0,0.0,0.0,0.0
u52,1.0,8.0,6.0,1.0,0.0,0.0
u53,0.0,4.0,3.0,0.0,0.0,0.0
u54,1.0,14.0,15.0,1.0,0.0,0.0
u57,0.0,9.0,6.0,0.0,0.0,0.0
u58,0.0,4.0,3.0,0.0,0.0,0.0
u59,1.0,31.0,20.0,0.0,0.0,0.0
