,total_score
0,13
1,5
2,13
3,5
4,13
5,5
6,13
7,5
8,13
9,5
10,13
11,5
12,13
13,5
14,13
15,5
16,13
17,5
18,13
19,5
20,13
21,5
22,13
23,5
24,13
25,5
26,13
27,5
28,13
29,5
30,13
31,5
32,13
33,5
34,13
35,5
36,13
37,5
38,13
39,5
40,13
41,5
42,13
43,5
44,13
45,5
46,13
47,5
48,13
49,5
50,13
51,5
52,13
53,5
54,13
55,5
56,13
57,5
58,13
59,5
60,13
61,5
62,13
63,5
64,13
65,5
66,13
67,5
68,13
69,5
70,13
71,5
72,13
73,5
74,13
75,5
76,13
77,5
78,13
79,5
80,13
81,5
82,13
83,5
84,13
85,5
86,13
87,5
88,13
89,5
90,13
91,5
92,13
93,5
94,13
95,5
96,13
97,5
98,13
99,5
100,13
101,5
102,13
103,5
104,13
105,5
106,13
107,5
108,13
109,5
110,13
111,5
112,13
113,5
114,13
115,5
116,13
117,5
118,13
119,5
120,13
121,5
122,13
123,5
124,13
125,5
126,13
127,5
128,13
129,5
130,13
131,5
132,13
133,5
134,13
135,5
136,13
137,5
138,13
139,5
140,13
141,5
142,13
143,5
144,13
145,5
146,13
147,5
148,13
149,5
150,13
151,5
152,13
153,5
154,13
155,5
156,13
157,5
158,13
159,5
160,13
161,5
162,13
163,5
164,13
165,5
166,13
167,5
168,13
169,5
170,13
171,5
172,13
173,5
174,13
175,5
176,13
177,5
178,13
179,5
180,13
181,5
182,13
183,5
184,13
185,5
186,13
187,5
188,13
189,5
190,13
191,5
192,13
193,5
194,13
195,5
196,13
197,5
198,13
199,5
200,13
201,5
202,13
203,5
204,13
205,5
206,13
207,5
208,13
209,5
210,13
211,5
212,13
213,5
214,13
215,5
216,13
217,5
218,13
219,5
220,13
221,5
222,13
223,5
224,13
225,5
226,13
227,5
228,13
229,5
230,13
231,5
232,13
233,5
234,13
235,5
236,13
237,5
238,13
239,5
240,13
241,5
242,13
243,5
244,13
245,5
246,13
247,5
248,13
249,5
250,13
251,5
252,13
253,5
254,13
255,5
256,13
257,5
258,13
259,5
260,13
261,5
262,13
263,5
264,13
265,5
266,13
267,5
268,13
269,5
270,13
271,5
272,6
273,8
274,6
275,8
276,6
277,8
278,6
279,8
280,6
281,8
282,6
283,8
284,6
285,8
286,6
287,8
288,6
289,8
290,6
291,8
292,6
293,8
294,6
295,8
296,6
297,8
298,6
299,8
300,6
301,8
302,6
303,8
304,6
305,8
306,6
307,8
308,6
309,8
310,6
311,8
312,6
313,8
314,6
315,8
316,6
317,8
318,6
319,8
320,6
321,8
322,6
323,8
324,6
325,8
326,6
327,8
328,6
329,8
330,6
331,8
332,6
333,8
334,6
335,8
336,6
337,8
338,6
339,8
340,6
341,8
342,6
343,8
344,6
345,8
346,6
347,8
348,6
349,8
350,6
351,8
352,6
353,8
354,6
355,8
356,6
357,8
358,6
359,8
360,6
361,8
362,6
363,8
364,6
365,8
366,6
367,8
368,6
369,8
370,6
371,8
372,6
373,8
374,6
375,8
376,6
377,8
378,6
379,8
380,6
381,8
382,6
383,8
384,6
385,8
386,6
387,8
388,6
389,8
390,6
391,8
392,6
393,8
394,6
395,8
396,6
397,8
398,6
399,8
400,6
401,8
402,6
403,8
404,6
405,8
406,6
407,8
408,6
409,8
410,6
411,8
412,6
413,8
414,6
415,8
416,6
417,8
418,6
419,8
420,6
421,8
422,6
423,8
424,6
425,8
426,6
427,8
428,6
429,8
430,6
431,8
432,6
433,8
434,6
435,8
436,6
437,8
438,6
439,8
440,6
441,8
442,6
443,8
444,6
445,8
446,6
447,8
448,6
449,8
450,6
451,8
452,6
453,8
454,6
455,8
456,6
457,8
458,6
459,8
460,6
461,8
462,6
463,8
464,6
465,8
466,6
467,8
468,6
469,8
470,6
471,8
472,6
473,8
474,6
475,8
476,6
477,8
478,6
479,8
480,6
481,8
482,6
483,8
484,6
485,8
486,6
487,8
488,6
489,8
490,6
491,8
492,6
493,8
494,6
495,8
496,6
497,8
498,6
499,8
500,6
501,8
502,6
503,8
504,6
505,8
506,6
507,8
508,6
509,8
510,6
511,8
512,6
513,8
514,6
515,8
516,6
517,8
518,6
519,8
520,6
521,8
522,6
523,8
524,6
525,8
526,6
527,8
528,6
529,8
530,6
531,8
532,6
533,8
534,6
535,8
536,6
537,8
538,6
539,8
540,6
541,8
542,6
543,8
544,6
545,8
546,6
547,8
548,6
549,8
550,6
551,8
552,6
553,8
554,6
555,8
556,6
557,8
558,6
559,8
560,6
561,8
562,6
563,8
564,6
565,8
566,6
567,8
568,6
569,8
570,6
571,8
572,6
573,8
574,6
575,8
576,6
577,8
578,6
579,8
580,6
581,8
582,6
583,8
584,6
585,8
586,6
587,8
588,6
589,8
590,6
591,8
592,6
593,8
594,6
595,8
596,6
597,8
598,6
599,8
600,6
601,8
602,6
603,8
604,6
605,8
606,6
607,8
608,6
609,8
610,6
611,8
612,6
613,8
614,6
615,8
616,6
617,8
618,6
619,8
620,6
621,8
622,6
623,8
624,6
625,8
626,7
627,8
628,7
629,8
630,7
631,8
632,7
633,8
634,7
635,8
636,7
637,8
638,7
639,8
640,7
641,8
642,7
643,8
644,7
645,8
646,7
647,8
648,7
649,8
650,7
651,8
652,7
653,8
654,7
655,8
656,7
657,8
658,7
659,8
660,7
661,8
662,7
663,8
664,7
665,8
666,7
667,8
668,7
669,8
670,7
671,8
672,7
673,8
674,7
675,8
676,7
677,8
678,7
679,8
680,7
681,8
682,7
683,8
684,7
685,8
686,7
687,8
688,7
689,8
690,7
691,8
692,7
693,8
694,7
695,8
696,7
697,8
698,7
699,8
700,7
701,8
702,7
703,8
704,7
705,8
706,7
707,8
708,7
709,8
710,7
711,8
712,7
713,8
714,7
715,8
716,7
717,8
718,7
719,8
720,7
721,8
722,7
723,8
724,7
725,8
726,7
727,8
728,7
729,8
730,7
731,8
732,7
733,8
734,7
735,8
736,7
737,8
738,7
739,8
740,7
741,8
742,7
743,8
744,7
745,8
746,7
747,8
748,7
749,8
750,7
751,8
752,7
753,8
754,7
755,8
756,7
757,8
758,7
759,8
760,7
761,8
762,7
763,8
764,7
765,8
766,7
767,8
768,7
769,8
770,7
771,8
772,7
773,8
774,7
775,8
776,7
777,8
778,7
779,8
780,7
781,8
782,7
783,8
784,7
785,8
786,7
787,8
788,7
789,8
790,7
791,8
792,7
793,8
794,7
795,8
796,7
797,8
798,7
799,8
800,7
801,8
802,7
803,8
804,7
805,8
806,7
807,8
808,7
809,8
810,7
811,8
812,7
813,8
814,7
815,8
816,7
817,8
818,7
819,8
820,7
821,8
822,7
823,8
824,7
825,8
826,7
827,8
828,7
829,8
830,7
831,8
832,7
833,8
834,7
835,8
836,7
837,8
838,7
839,8
840,7
841,8
842,7
843,8
844,7
845,8
846,7
847,8
848,7
849,8
850,7
851,8
852,7
853,8
854,7
855,8
856,7
857,8
858,7
859,8
860,7
861,8
862,7
863,8
864,7
865,8
866,7
867,8
868,7
869,8
870,7
871,8
872,7
873,8
874,7
875,8
876,7
877,8
878,7
879,8
880,7
881,8
882,7
883,8
884,7
885,8
886,7
887,8
888,7
889,8
890,7
891,8
892,7
893,8
894,7
895,8
896,7
897,8
898,7
899,8
900,7
901,8
902,7
903,8
904,7
905,8
906,7
907,8
908,7
909,8
910,7
911,8
912,7
913,8
914,7
915,8
916,7
917,8
918,7
919,8
920,7
921,8
922,7
923,8
924,7
925,8
926,7
927,8
928,7
929,8
930,7
931,8
932,7
933,8
934,7
935,8
936,7
937,8
938,7
939,8
940,7
941,8
942,7
943,8
944,7
945,8
946,7
947,8
948,7
949,8
950,7
951,8
952,7
953,8
954,7
955,8
956,7
957,8
958,7
959,8
960,7
961,8
962,7
963,8
964,7
965,8
966,7
967,8
968,7
969,8
970,7
971,8
972,7
973,8
974,7
975,8
976,7
977,8
978,7
979,8
980,7
981,8
982,7
983,8
984,7
985,8
986,7
987,8
988,7
989,8
990,7
991,8
992,7
993,8
994,7
995,8
996,7
997,8
998,7
999,8
1000,7
1001,8
1002,5
1003,5
1004,5
1005,5
1006,5
1007,5
1008,5
1009,5
1010,5
1011,5
1012,5
1013,5
1014,5
1015,5
1016,5
1017,5
1018,5
1019,5
1020,5
1021,5
1022,5
1023,5
1024,5
1025,5
1026,5
1027,5
1028,5
1029,5
1030,5
1031,5
1032,5
1033,5
1034,5
1035,5
1036,5
1037,5
1038,5
1039,5
1040,5
1041,5
1042,5
1043,5
1044,5
1045,5
1046,5
1047,5
1048,5
1049,5
1050,5
1051,5
1052,5
1053,5
1054,5
1055,5
1056,5
1057,5
1058,5
1059,5
1060,5
1061,5
1062,5
1063,5
1064,5
1065,5
1066,5
1067,5
1068,5
1069,5
1070,5
1071,5
1072,5
1073,5
1074,5
1075,5
1076,5
1077,5
1078,5
1079,5
1080,5
1081,5
1082,5
1083,5
1084,5
1085,5
1086,5
1087,5
1088,5
1089,5
1090,5
1091,5
1092,5
1093,5
1094,5
1095,5
1096,5
1097,5
1098,5
1099,5
1100,5
1101,5
1102,5
1103,5
1104,5
1105,5
1106,5
1107,5
1108,5
1109,5
1110,5
1111,5
1112,5
1113,5
1114,5
1115,5
1116,5
1117,5
1118,5
1119,5
1120,5
1121,5
1122,5
1123,5
1124,5
1125,5
1126,5
1127,5
1128,5
1129,5
1130,5
1131,5
1132,5
1133,5
1134,5
1135,5
1136,5
1137,5
1138,5
1139,5
1140,5
1141,5
1142,5
1143,5
1144,5
1145,5
1146,5
1147,5
1148,5
1149,5
1150,5
1151,5
1152,5
1153,5
1154,5
1155,5
1156,5
1157,5
1158,5
1159,5
1160,5
1161,5
1162,5
1163,5
1164,5
1165,5
1166,5
1167,5
1168,5
1169,5
1170,5
1171,5
1172,5
1173,5
1174,5
1175,5
1176,5
1177,5
1178,5
1179,5
1180,5
1181,5
1182,5
1183,5
1184,5
1185,5
1186,5
1187,5
1188,5
1189,5
1190,5
1191,5
1192,5
1193,5
1194,5
1195,5
1196,5
1197,5
1198,5
1199,5
1200,5
1201,5
1202,5
1203,5
1204,5
1205,5
1206,5
1207,5
1208,5
